consensus_rank,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau
51,BRD-K55591206,epigallocatechin-gallate-(-),-0.9161381,-80.946304,-64.109695,3,3,0,-48.65738,-64.109695,-80.946304
52,BRD-K43164539,cholic-acid,-6.0025463,-63.466003,-66.27359,3,3,0,-45.24738,-63.466003,-66.27359
53,BRD-A62184259,cycloheximide,-5.144468,-83.09422,-63.263805,3,3,0,-50.500835,-63.263805,-83.09422
54,BRD-K82143716,flucytosine,-62.447453,-1.303735,-83.53966,3,3,0,-49.09695,-62.447453,-83.53966
55,BRD-A20589515,dihydroxyphenylglycine,-76.079926,-61.77539,-36.63794,3,3,0,-58.164417,-61.77539,-76.079926
56,BRD-K37846922,"3,3'-diindolylmethane",-23.392363,-68.230576,-61.381847,3,3,0,-51.0016,-61.381847,-68.230576
57,BRD-K46441700,GR-55562,-12.65922,-85.61006,-60.974052,3,3,0,-53.081112,-60.974052,-85.61006
58,BRD-K77998258,ganglioside,-2.3255813,-60.84063,-79.385666,3,3,0,-47.51729,-60.84063,-79.385666
59,BRD-K40213712,SAL-1,-3.8884003,-63.043133,-60.775375,3,3,0,-42.56897,-60.775375,-63.043133
60,BRD-K86727142,embelin,-0.9866103,-74.17098,-60.749107,3,3,0,-45.30223,-60.749107,-74.17098
61,BRD-K54330070,SB-202190,-2.1141648,-60.137074,-68.49746,3,3,0,-43.5829,-60.137074,-68.49746
62,BRD-K41260949,valproic-acid,-2.2551093,-77.66442,-59.89779,3,3,0,-46.605774,-59.89779,-77.66442
63,BRD-K33425534,exemestane,-2.8600109,-83.68401,-59.854805,3,3,0,-48.79961,-59.854805,-83.68401
64,BRD-A57457122,VU-0400071-3,-4.1578574,-66.11276,-59.71516,3,3,0,-43.328594,-59.71516,-66.11276
65,BRD-K78838262,austricine,-0.8953151,-78.11801,-59.665684,3,3,0,-46.226334,-59.665684,-78.11801
66,BRD-A02180903,betamethasone,-1.2332629,-59.548683,-63.418858,3,3,0,-41.40027,-59.548683,-63.418858
67,BRD-K72816382,cinalukast,-2.3960536,-59.528847,-63.2611,3,3,0,-41.72867,-59.528847,-63.2611
68,BRD-K79511609,BRD-K79511609,-42.073154,-59.437984,-67.01202,3,3,0,-56.17438,-59.437984,-67.01202
69,BRD-K02607075,tubocurarine,-2.7131784,-75.77972,-58.916065,3,3,0,-45.80299,-58.916065,-75.77972
70,BRD-K28137194,loreclezole,-65.61892,-58.1252,-48.364,3,3,0,-57.369373,-58.1252,-65.61892
71,BRD-K11107424,tiotidine,-3.488372,-58.090363,-64.5474,3,3,0,-42.042046,-58.090363,-64.5474
72,BRD-K89708791,rifaximin,-4.756871,-57.855515,-79.764694,3,3,0,-47.459026,-57.855515,-79.764694
73,BRD-K05804044,AZ-628,-0.95137423,-65.10859,-57.72351,3,3,0,-41.261158,-57.72351,-65.10859
74,BRD-K06878038,deferiprone,-4.7209826,-60.271294,-57.334846,3,3,0,-40.775707,-57.334846,-60.271294
75,BRD-K77133231,PD-169316,-26.292255,-69.04251,-57.065178,3,3,0,-50.799984,-57.065178,-69.04251
76,BRD-K08109516,L-701324,-11.2837715,-60.337547,-56.637703,3,3,0,-42.753006,-56.637703,-60.337547
77,BRD-K08273968,griseofulvin,-7.751938,-66.57971,-56.20597,3,3,0,-43.512543,-56.20597,-66.57971
78,BRD-K99107520,felbamate,-1.3389711,-84.81013,-56.04811,3,3,0,-47.399075,-56.04811,-84.81013
79,BRD-K35629949,SR-27897,-16.35113,-55.846756,-72.5287,3,3,0,-48.2422,-55.846756,-72.5287
80,BRD-K62310379,fluticasone-propionate,-0.66948557,-55.002747,-86.08621,3,3,0,-47.25281,-55.002747,-86.08621
81,BRD-K08996725,zolantidine,-0.49330515,-54.92739,-74.507706,3,3,0,-43.309464,-54.92739,-74.507706
82,BRD-K33211335,dextromethorphan,-3.2064834,-54.84937,-61.59202,3,3,0,-39.882626,-54.84937,-61.59202
83,BRD-K34098590,tienilic-acid,-25.508522,-85.91019,-54.838802,3,3,0,-55.41917,-54.838802,-85.91019
84,BRD-A77349281,RK-682,-14.212652,-63.022438,-54.574436,3,3,0,-43.93651,-54.574436,-63.022438
85,BRD-K01638814,rilmenidine,-22.415075,-53.919815,-65.84115,3,3,0,-47.392014,-53.919815,-65.84115
86,BRD-K05104363,PD-184352,-0.10570825,-59.902153,-53.916405,3,3,0,-37.974754,-53.916405,-59.902153
87,BRD-K04170657,psoromic-acid,-29.686283,-55.383244,-53.66938,3,3,0,-46.246304,-53.66938,-55.383244
88,BRD-K09991945,GSK-3-inhibitor-II,-13.116282,-56.040085,-53.212753,3,3,0,-40.789707,-53.212753,-56.040085
89,BRD-K37720887,SB-525334,-7.751938,-61.006596,-52.9802,3,3,0,-40.57958,-52.9802,-61.006596
90,BRD-K67439147,SIB-1893,-63.677235,-52.95844,-41.334583,3,3,0,-52.656754,-52.95844,-63.677235
91,BRD-K56450366,NSC-94258,-15.000443,-52.920273,-79.57135,3,3,0,-49.16402,-52.920273,-79.57135
92,BRD-K08924299,palonosetron,-30.217133,-57.43039,-52.88507,3,3,0,-46.844196,-52.88507,-57.43039
93,BRD-K07872006,BRD-K07872006,-51.266876,-6.900154,-82.79512,3,3,0,-46.987385,-51.266876,-82.79512
94,BRD-K23566484,nilutamide,-2.8188865,-83.79942,-50.825092,3,3,0,-45.81447,-50.825092,-83.79942
95,BRD-K60476892,YC-1,-4.0492387,-81.12747,-50.677475,3,3,0,-45.28473,-50.677475,-81.12747
96,BRD-K61217870,N-(3-acetamidophenyl)-3-chlorobenzamide,-3.2064834,-68.56732,-50.3071,3,3,0,-40.693634,-50.3071,-68.56732
97,BRD-K23984367,sorafenib,-2.9274807,-60.26159,-50.119583,3,3,0,-37.76955,-50.119583,-60.26159
98,BRD-K98769987,flumazenil,-1.0570824,-56.787212,-50.033222,3,3,0,-35.95917,-50.033222,-56.787212
99,BRD-K64835161,ML-167,-54.915535,-49.800385,-30.28062,3,3,0,-44.99885,-49.800385,-54.915535
100,BRD-K44094599,tacrolimus,-29.489483,-56.31352,-49.776443,3,3,0,-45.19315,-49.776443,-56.31352
101,BRD-K84266862,BRL-50481,-4.5102186,-49.73297,-72.24362,3,3,0,-42.16227,-49.73297,-72.24362
102,BRD-K16621777,enobosarm,-30.569885,-64.93557,-48.973648,3,3,0,-48.1597,-48.973648,-64.93557
103,BRD-K95885906,quercetagetin,-17.259623,-51.11901,-48.827953,3,3,0,-39.06886,-48.827953,-51.11901
104,BRD-A30815329,felodipine,-8.23768,-76.98053,-48.651047,3,3,0,-44.62309,-48.651047,-76.98053
105,BRD-K45446451,JZL-184,-48.52777,-44.27649,-72.79177,3,3,0,-55.19868,-48.52777,-72.79177
106,BRD-K56596464,QX-314,-22.732267,-60.439064,-48.51338,3,3,0,-43.8949,-48.51338,-60.439064
107,BRD-K55034111,pefloxacin,-7.6584454,-48.287518,-68.91559,3,3,0,-41.620518,-48.287518,-68.91559
108,BRD-K08619838,tremorine,-0.7047216,-48.21443,-49.423393,3,3,0,-32.78085,-48.21443,-49.423393
109,BRD-K06902185,minoxidil,-13.948819,-55.676,-47.861732,3,3,0,-39.162186,-47.861732,-55.676
110,BRD-K83636919,entacapone,-13.299369,-53.776943,-47.76239,3,3,0,-38.279568,-47.76239,-53.776943
111,BRD-K48970916,danazol,-0.24665257,-50.152992,-47.451973,3,3,0,-32.617207,-47.451973,-50.152992
112,BRD-K84895041,BMY-45778,-27.080841,-47.96483,-47.346344,3,3,0,-40.797337,-47.346344,-47.96483
113,BRD-K84639753,safinamide,-29.83388,-67.80315,-47.3245,3,3,0,-48.32051,-47.3245,-67.80315
114,BRD-K06234293,LY-364947,-27.714294,-47.234467,-57.26573,3,3,0,-44.0715,-47.234467,-57.26573
115,BRD-K59184148,SB-216763,-46.452076,-44.115448,-82.6257,3,3,0,-57.731075,-46.452076,-82.6257
116,BRD-K84996949,sinensetin,-1.5856236,-46.41908,-54.82087,3,3,0,-34.27519,-46.41908,-54.82087
117,BRD-A38898897,GW-311616,-23.70439,-74.87172,-46.099236,3,3,0,-48.225113,-46.099236,-74.87172
118,BRD-A67438293,treprostinil,-2.8188865,-45.901474,-62.502026,3,3,0,-37.07413,-45.901474,-62.502026
119,BRD-A82096673,KU-C103428N,-36.451416,-48.50032,-45.783127,3,3,0,-43.57829,-45.783127,-48.50032
120,BRD-K76425766,BRD-K76425766,-52.625637,-36.89001,-45.3842,3,3,0,-44.966618,-45.3842,-52.625637
121,BRD-K74117820,nelfinavir,-1.7618041,-60.5012,-44.47025,3,3,0,-35.57775,-44.47025,-60.5012
122,BRD-A23637604,oxymetholone,-3.6340642,-44.341537,-64.54993,3,3,0,-37.50851,-44.341537,-64.54993
123,BRD-K99260425,etodolac,-5.0697346,-44.321022,-85.11563,3,3,0,-44.83546,-44.321022,-85.11563
124,BRD-K19525698,ozagrel,-5.250176,-57.99302,-43.884445,3,3,0,-35.709213,-43.884445,-57.99302
125,BRD-A10188456,dexamethasone,-18.115908,-43.598267,-87.66998,3,3,0,-49.79472,-43.598267,-87.66998
126,BRD-K54472332,elvitegravir,-19.859804,-70.96349,-43.57873,3,3,0,-44.800674,-43.57873,-70.96349
127,BRD-A09533288,verapamil,-1.4799154,-43.12323,-56.672924,3,3,0,-33.75869,-43.12323,-56.672924
128,BRD-K32584078,BML-257,-3.9464412,-43.09183,-43.41781,3,3,0,-30.152029,-43.09183,-43.41781
129,BRD-A61189834,BRD-A61189834,-53.654625,-42.7526,-10.2537,3,3,0,-35.553642,-42.7526,-53.654625
130,BRD-K61106942,BRD-K61106942,-42.60853,-71.33548,-33.97148,3,3,0,-49.305164,-42.60853,-71.33548
131,BRD-K50720187,flupirtine,-3.6645525,-64.430565,-42.167107,3,3,0,-36.754074,-42.167107,-64.430565
132,BRD-K28680267,BRD-K28680267,-1.3173995,-71.55618,-42.157875,3,3,0,-38.34382,-42.157875,-71.55618
133,BRD-K94841585,emodic-acid,-42.155396,-21.892303,-72.56107,3,3,0,-45.536255,-42.155396,-72.56107
134,BRD-K51575138,TPCA-1,-12.225554,-43.639847,-41.93349,3,3,0,-32.59963,-41.93349,-43.639847
135,BRD-A17411484,carprofen,-2.5192642,-41.67498,-42.43245,3,3,0,-28.875565,-41.67498,-42.43245
136,BRD-K53545112,CNQX,-3.2594924,-41.653446,-46.32024,3,3,0,-30.411058,-41.653446,-46.32024
137,BRD-K25650355,physostigmine,-1.5151515,-45.902008,-41.340645,3,3,0,-29.585936,-41.340645,-45.902008
138,BRD-K61269089,daphnetin,-12.690028,-43.49672,-40.86435,3,3,0,-32.350365,-40.86435,-43.49672
139,BRD-K56509348,BMS-182874,-4.455877,-45.299522,-40.85988,3,3,0,-30.205093,-40.85988,-45.299522
140,BRD-K95921201,reserpine,-1.2684989,-40.84658,-50.60897,3,3,0,-30.908018,-40.84658,-50.60897
141,BRD-K61496577,flumetasone,-0.5637773,-62.43299,-40.765182,3,3,0,-34.587315,-40.765182,-62.43299
142,BRD-U44700465,HG-5-88-01,-7.883725,-53.11589,-40.75677,3,3,0,-33.918797,-40.75677,-53.11589
143,BRD-K57033106,tripelennamine,-0.07080476,-68.27078,-40.512016,3,3,0,-36.284534,-40.512016,-68.27078
144,BRD-K01624546,docosatrienoic-acid,-1.3389711,-53.90575,-39.821594,3,3,0,-31.688772,-39.821594,-53.90575
145,BRD-A92826379,lupanine,-7.2639766,-39.71443,-55.89727,3,3,0,-34.291893,-39.71443,-55.89727
146,BRD-K49657628,tyrphostin-AG-18,-0.5637773,-55.3295,-39.462765,3,3,0,-31.785347,-39.462765,-55.3295
147,BRD-A42628519,iopanoic-acid,-11.715203,-39.3869,-39.32174,3,3,0,-30.141281,-39.32174,-39.3869
148,BRD-A74771556,nikkomycin,-38.985767,-38.02307,-39.525238,3,3,0,-38.844692,-38.985767,-39.525238
149,BRD-K46766488,S-14506,-26.859728,-40.85456,-38.57939,3,3,0,-35.431225,-38.57939,-40.85456
150,BRD-A82307304,atorvastatin,-6.1602507,-38.053806,-54.71139,3,3,0,-32.975147,-38.053806,-54.71139
151,BRD-K29530284,amlexanox,-1.0923185,-37.85388,-56.696934,3,3,0,-31.881042,-37.85388,-56.696934
152,BRD-K26160755,RS-45041-190,-1.1275547,-37.746723,-43.400898,3,3,0,-27.425058,-37.746723,-43.400898
153,BRD-K03406345,azacitidine,-10.888996,-37.281746,-66.73277,3,3,0,-38.301174,-37.281746,-66.73277
154,BRD-K60218670,BRD-K60218670,-4.369274,-36.972008,-56.505604,3,3,0,-32.61563,-36.972008,-56.505604
155,BRD-A04352665,maraviroc,-16.223822,-36.880947,-40.240036,3,3,0,-31.114937,-36.880947,-40.240036
156,BRD-K82109576,vincristine,-1.0570824,-46.40745,-36.34063,3,3,0,-27.935053,-36.34063,-46.40745
157,BRD-K88871508,lisuride,-26.793684,-45.959305,-36.301353,3,3,0,-36.351448,-36.301353,-45.959305
158,BRD-K96134740,kitasamycin,-13.241172,-64.56407,-36.09861,3,3,0,-37.967953,-36.09861,-64.56407
159,BRD-K85383046,IAA-94,-10.394644,-35.592094,-46.634995,3,3,0,-30.87391,-35.592094,-46.634995
160,BRD-K82865713,prostaglandin-b2,-7.2854033,-35.39823,-45.28096,3,3,0,-29.321531,-35.39823,-45.28096
161,BRD-A52282606,lacidipine,-0.6587423,-35.356766,-37.658325,3,3,0,-24.557945,-35.356766,-37.658325
162,BRD-K53570330,carbofuran,-1.691332,-40.464893,-35.344093,3,3,0,-25.83344,-35.344093,-40.464893
163,BRD-K85503079,perospirone,-16.530361,-35.25115,-52.13971,3,3,0,-34.640408,-35.25115,-52.13971
164,BRD-K96354014,nifedipine,-0.1761804,-35.130684,-75.309105,3,3,0,-36.87199,-35.130684,-75.309105
165,BRD-K07888196,tyrphostin-AG-538,-23.730103,-34.374477,-58.618176,3,3,0,-38.907585,-34.374477,-58.618176
166,BRD-A62890442,3-methyl-GABA,-7.9880934,-57.62864,-34.085876,3,3,0,-33.234203,-34.085876,-57.62864
167,BRD-K52640952,BRD-K52640952,-48.07389,-33.94535,-28.508207,3,3,0,-36.842484,-33.94535,-48.07389
168,BRD-K19295594,gossypol,-0.7751938,-33.31175,-36.674946,3,3,0,-23.587296,-33.31175,-36.674946
169,BRD-K50388907,fenofibrate,-73.48956,-32.965202,-26.33311,3,3,0,-44.262623,-32.965202,-73.48956
170,BRD-K56301217,ABT-737,-0.422833,-36.547043,-32.86671,3,3,0,-23.278864,-32.86671,-36.547043
171,BRD-K72093121,vidarabine,-53.22731,-21.591793,-32.55997,3,3,0,-35.793026,-32.55997,-53.22731
172,BRD-A07395371,esmolol,-1.6803665,-89.37271,-32.521656,3,3,0,-41.191578,-32.521656,-89.37271
173,BRD-K34441861,moexipril,-3.7350247,-46.457344,-32.428318,3,3,0,-27.54023,-32.428318,-46.457344
174,BRD-A35108200,dexamethasone,-5.0387597,-32.249184,-68.558846,3,3,0,-35.28226,-32.249184,-68.558846
175,BRD-A46186775,hydrocortisone-phosphate,-1.4094433,-32.219177,-42.112267,3,3,0,-25.246964,-32.219177,-42.112267
176,BRD-K54316499,tolterodine,-3.1007752,-32.154175,-63.32261,3,3,0,-32.859188,-32.154175,-63.32261
177,BRD-A19195498,trimipramine,-0.070472166,-31.97786,-50.759808,3,3,0,-27.602715,-31.97786,-50.759808
178,BRD-K03642198,AY-9944,-1.6101211,-31.60103,-34.168293,3,3,0,-22.459816,-31.60103,-34.168293
179,BRD-K95609758,BMS-191011,-1.1627907,-31.584824,-33.57843,3,3,0,-22.10868,-31.584824,-33.57843
180,BRD-K49685476,TTNPB,-9.250669,-31.450481,-63.046185,3,3,0,-34.582447,-31.450481,-63.046185
181,BRD-K59597909,phenothiazine,-2.501762,-59.962017,-31.325861,3,3,0,-31.263214,-31.325861,-59.962017
182,BRD-U33728988,QL-X-138,-20.95063,-31.034119,-47.547672,3,3,0,-33.17747,-31.034119,-47.547672
183,BRD-K14329163,BAY-K-8644-(S)-(-),-16.649986,-30.917566,-41.347267,3,3,0,-29.638273,-30.917566,-41.347267
184,BRD-K32330832,VER-155008,-30.576506,-13.693678,-59.729347,3,3,0,-34.66651,-30.576506,-59.729347
185,BRD-A55393291,testosterone,-11.373262,-73.701614,-30.35864,3,3,0,-38.47784,-30.35864,-73.701614
186,BRD-K63089472,farnesylthioacetic-acid,-5.0739956,-30.30285,-34.17785,3,3,0,-23.184898,-30.30285,-34.17785
187,BRD-A51393488,noscapine,-19.657667,-53.56192,-30.12564,3,3,0,-34.44841,-30.12564,-53.56192
188,BRD-K08547377,irinotecan,-24.767004,-29.981533,-58.411037,3,3,0,-37.71986,-29.981533,-58.411037
189,BRD-A78391468,prednisolone-hemisuccinate,-0.31712472,-29.831142,-46.899296,3,3,0,-25.68252,-29.831142,-46.899296
190,BRD-K74430258,"1,2-dichlorobenzene",-3.3201575,-38.90431,-29.80742,3,3,0,-24.01063,-29.80742,-38.90431
191,BRD-A70083328,secnidazole,-2.0436928,-36.271267,-29.795912,3,3,0,-22.703623,-29.795912,-36.271267
192,BRD-K22385716,LY-303511,-12.634334,-72.03151,-29.74118,3,3,0,-38.135674,-29.74118,-72.03151
193,BRD-A80775386,hyperforin,-2.2903454,-33.40447,-29.564384,3,3,0,-21.753067,-29.564384,-33.40447
194,BRD-K12244279,MEK1-2-inhibitor,-0.9161381,-29.543999,-61.76171,3,3,0,-30.740616,-29.543999,-61.76171
195,BRD-K14643723,4-(2-amino-ethyl)-benzenesulfonamide,-5.6730094,-35.12152,-29.435863,3,3,0,-23.410133,-29.435863,-35.12152
196,BRD-A83937277,mephenytoin,-42.435665,-24.26775,-29.380884,3,3,0,-32.028103,-29.380884,-42.435665
197,BRD-K64785675,TG-100115,-4.8193192,-48.762486,-29.358997,3,3,0,-27.646935,-29.358997,-48.762486
198,BRD-K51751936,alfadolone-acetate,-35.844765,-29.176336,-22.785673,3,3,0,-29.268927,-29.176336,-35.844765
199,BRD-K14791739,fluticasone,-5.817693,-29.090864,-43.501984,3,3,0,-26.136848,-29.090864,-43.501984
200,BRD-K88741031,"methyl-2,5-dihydroxycinnamate",-0.28188866,-53.60879,-28.986156,3,3,0,-27.625612,-28.986156,-53.60879
201,BRD-K19894101,MST-312,-25.640945,-43.040028,-28.781364,3,3,0,-32.487446,-28.781364,-43.040028
202,BRD-A48570745,ivermectin,-29.96163,-28.74226,-28.262648,3,3,0,-28.988846,-28.74226,-29.96163
203,BRD-A53952395,prilocaine,-28.468613,-28.609875,-51.230255,3,3,0,-36.102917,-28.609875,-51.230255
204,BRD-K37312348,kenpaullone,-2.3255813,-28.59041,-35.7255,3,3,0,-22.21383,-28.59041,-35.7255
205,BRD-K86301799,dipyridamole,-12.494594,-28.443674,-32.105556,3,3,0,-24.34794,-28.443674,-32.105556
206,BRD-K00206590,P-1075,-2.0789287,-28.362492,-34.816856,3,3,0,-21.75276,-28.362492,-34.816856
207,BRD-K18757346,U-46619,-1.303735,-28.23493,-33.373863,3,3,0,-20.970842,-28.23493,-33.373863
208,BRD-K18250272,propoxycaine,-10.503379,-38.969124,-27.952797,3,3,0,-25.808434,-27.952797,-38.969124
209,BRD-K70693222,BRD-K70693222,-1.1339885,-43.522636,-27.844193,3,3,0,-24.166939,-27.844193,-43.522636
210,BRD-A91699651,chloroquine,-1.1980268,-27.8126,-29.676746,3,3,0,-19.562458,-27.8126,-29.676746
211,BRD-A02710418,meptazinol,-10.324172,-27.789557,-38.478477,3,3,0,-25.530737,-27.789557,-38.478477
212,BRD-A31800922,procyclidine,-37.51771,-24.923943,-27.465975,3,3,0,-29.969208,-27.465975,-37.51771
213,BRD-K73589491,nizatidine,-0.28188866,-86.64081,-27.410349,3,3,0,-38.111015,-27.410349,-86.64081
214,BRD-K28183345,proguanil,-0.24665257,-32.122334,-27.257803,3,3,0,-19.875595,-27.257803,-32.122334
215,BRD-K65786282,CGP-7930,-2.3960536,-38.21315,-27.210901,3,3,0,-22.606703,-27.210901,-38.21315
216,BRD-A98702003,carbenoxolone,-2.0084567,-27.150024,-33.81108,3,3,0,-20.989855,-27.150024,-33.81108
217,BRD-A69951442,dexamethasone,-1.5187182,-26.880026,-63.26328,3,3,0,-30.554007,-26.880026,-63.26328
218,BRD-A48430263,pioglitazone,-0.01986131,-26.866491,-36.784634,3,3,0,-21.223661,-26.866491,-36.784634
219,BRD-K67261995,adipiodone,-0.24665257,-89.485275,-26.708424,3,3,0,-38.81345,-26.708424,-89.485275
220,BRD-K77171813,proxyfan,-0.7751938,-50.090206,-26.502,3,3,0,-25.789133,-26.502,-50.090206
221,BRD-K48168960,propylthiouracil,-3.1952057,-26.34571,-49.48116,3,3,0,-26.340693,-26.34571,-49.48116
222,BRD-K13872703,BRD-K13872703,-44.36382,-26.296307,-12.425304,3,3,0,-27.695145,-26.296307,-44.36382
223,BRD-A97454584,nadolol,-8.067474,-35.551544,-25.962315,3,3,0,-23.193777,-25.962315,-35.551544
224,BRD-A65739223,ramipril,-3.5236082,-25.663988,-50.957882,3,3,0,-26.715158,-25.663988,-50.957882
225,BRD-A29426959,carbinoxamine,-0.5637773,-25.495083,-51.29238,3,3,0,-25.783745,-25.495083,-51.29238
226,BRD-K02953697,naringin,-22.209127,-31.235346,-25.480282,3,3,0,-26.308252,-25.480282,-31.235346
227,BRD-K33396764,alpha-linolenic-acid,-1.8882304,-25.443546,-46.210857,3,3,0,-24.514212,-25.443546,-46.210857
