Gene stable ID,Gene name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,271.83807751806074,1.0164428368289098,0.20634924025142765,4.925837553801594,8.399976292205898e-07,4.649917910719954e-06
ENSG00000000457,SCYL3,685.5837655948086,0.47895326860134657,0.1651087228815008,2.900835644795661,0.0037216902410503816,0.008896588451802764
ENSG00000000460,FIRRM,831.7113890852089,0.467336291982334,0.15199309026273272,3.074720641408792,0.0021069980764686232,0.005381142251129863
ENSG00000001167,NFYA,930.5139465470091,0.8831539681364728,0.1516089874685432,5.825208537321808,5.70413278303538e-09,4.8110513980907855e-08
ENSG00000001629,ANKIB1,737.5466724127249,0.6236351975076401,0.1696558560986054,3.6758837086364893,0.0002370274845717996,0.0007662951660535603
ENSG00000001630,CYP51A1,2125.882646394232,0.5759136850152203,0.18356387003949814,3.1374021744654805,0.0017045214394822174,0.004454137413210178
ENSG00000002330,BAD,3179.50536708548,-1.0616468958599365,0.15712896088145467,-6.756532277082211,1.4133350668045552e-11,1.8429481087718605e-10
ENSG00000002549,LAP3,585.5185377372574,0.804102497865796,0.15684924748073575,5.126594553566831,2.950299189189645e-07,1.7917579943426647e-06
ENSG00000002586,CD99,7741.182650544709,-0.5395667393930018,0.13533088613301308,-3.9870184464962137,6.690882528890482e-05,0.00024579168771271217
ENSG00000002834,LASP1,197222.01999798638,-0.39026640219275205,0.12840626334636351,-3.039309703608819,0.0023712095313575925,0.005981011750882419
ENSG00000002919,SNX11,556.3274322373985,-0.41740801748787315,0.1498863561003783,-2.7848299761743274,0.005355579742187631,0.01227875193209989
ENSG00000002933,TMEM176A,17.740756336603457,1.4923968016815314,0.5721416118724666,2.6084395378922287,0.00909560785022377,0.019596382675221152
ENSG00000003096,KLHL13,194.37279006598942,2.061003013413375,0.25114562799350626,8.206406099439109,2.279076365199453e-16,5.807424219471199e-15
ENSG00000003393,ALS2,343.29514245750124,0.5159301980101234,0.17162519720083896,3.006144822699737,0.0026458295096270074,0.0065761129804044385
ENSG00000003402,CFLAR,770.864820296864,-0.49923246360978585,0.15079283703133775,-3.310717361899859,0.0009305714833808917,0.0025925369826238186
ENSG00000003436,TFPI,8.713231076510548,2.3642772001605312,0.8628921227907786,2.739945281356782,0.006144941384723589,0.013848403232956857
ENSG00000003989,SLC7A2,436.98690868482157,-1.7785982011987862,0.22120518839475659,-8.040490433817265,8.947961663280583e-16,2.1368619853070722e-14
ENSG00000004059,ARF5,6894.020277145475,-0.4701269255393541,0.13631272722946378,-3.4488850387972936,0.0005629062986004008,0.001650293915999499
ENSG00000004139,SARM1,125.75887815782153,-3.086738149200889,0.29142836964403135,-10.591755884889386,3.254293974645551e-26,1.950955989447258e-24
ENSG00000004142,POLDIP2,6343.800357044499,-0.49224154014138016,0.12645523554052912,-3.8926149481854853,9.916948571331004e-05,0.0003503180267936194
ENSG00000004399,PLXND1,1526.9811793456904,2.062779325258134,0.1359337488049891,15.17488735058284,5.1866711333864955e-52,1.3805157272353356e-49
ENSG00000004478,FKBP4,14219.795452692764,-0.5081357762886317,0.13806288218042598,-3.680466235845924,0.00023280788614452638,0.0007546799055454605
ENSG00000004534,RBM6,837.2413873267827,0.4795589356956538,0.1663539501571357,2.8827625388075777,0.003942044850089445,0.009356770822095005
ENSG00000004660,CAMKK1,332.285958385714,-1.6141196826160473,0.185097608236599,-8.720370284595015,2.772934552813532e-18,8.70942574327172e-17
ENSG00000004766,VPS50,377.5185220686122,0.48179825350319394,0.19335654384799636,2.491760785101489,0.012711161489094423,0.026258344465890225
